Nome Fantasia,Razão Social,CNPJ,Código CNES,Município,UF,CEP,Telefone,Email,Leitos,Atende SUS?,Atende Convênio?
HOSPITAL SAO PEDRO,HOSPITAL SAO PEDRO LTDA,,0766844,RIO BRANCO,AC,69900688,6833022250,presidenciahsp@gmail.com,7,0,0
HOSPITAL GERAL DE CLINICAS DE RIO BRANCO,SECRETARIA DE ESTADO DE SAUDE,04034526000143,2001578,RIO BRANCO,AC,69900478,(68) 3223 3080,huerb.saude@ac.gov.br,255,1,0
SESACRE HOSPITAL DE DERMATOLOGIA SANITARIA,SECRETARIA DE ESTADO DE SAUDE,04034526000143,2000172,CRUZEIRO DO SUL,AC,69980000,(68) 3322 5219 2315,hds10@hotmail.com,20,1,0
HOSPITAL DO RIM ACRE,HOSPITAL DO RIM ACRE LTDA,,9246010,RIO BRANCO,AC,69900478,6821020937,clinicadorimdoacre@gmail.com,14,0,0
MATERNIDADE E CLINICAS DE MULHERES BARBARA HELIODORA,SECRETARIA DE ESTADO DE SAUDE,04034526000143,2000733,RIO BRANCO,AC,69900373,(68) 3215-4800,sasmac.ac@gmail.com,102,1,0
HOSPITAL DA CRIANCA URGIL URGENCIA INFANTIL SERV MEDICO,HOSPITAL DA CRIANCA URGIL URGENCIA INFANTIL SERVICOS MEDIC,,3046354,RIO BRANCO,AC,69905022,68 32244694,urgil.financeiro@hotmail.com,38,0,0
SANTA CASA,SANTA CASA DE MISERICORDIA DO ACRE,,6497314,RIO BRANCO,AC,69900664,68 92241422,scmamazonia@gmail.com,56,1,1
SANTA CASA DE MISERICORDIA DE CRUZEIRO DO SUL,SANTA CASA DE MISERICORDIA DE CRUZEIRO DO SUL,,2000180,CRUZEIRO DO SUL,AC,69980000,(68) 3322 2133,santacasacz@hotmail.com,5,1,0
PRONTO CLINICA,AMICO LTDA,,3046362,RIO BRANCO,AC,69908650,(68) 3224 1364,amico_ac@yahoo.com.br,34,0,0
HOSPITAL DR ABEL PINHEIRO MACIEL FILHO,SECRETARIA DE ESTADO DE SAUDE,04034526000143,2000083,MANCIO LIMA,AC,69990000,,,32,1,0
FUNDHACRE,FUNDACAO HOSPITAL ESTADUAL DO ACRE,,2001586,RIO BRANCO,AC,69920193,(68) 3226 4683,cnes-acre@ac.gov.br,232,1,0
INST BRASIL AMAZONIA DE SERV ESPECIALI E SAUDE INBASES,INST BRASIL AMAZONIA DE SERV ESPECIALI E SAUDE INBASES,,0264032,RIO BRANCO,AC,69900664,6821022673,contato@santacasadaamazonia.org,62,1,0
HOSPITAL REGIONAL DO JURUA IRMA NAIR TERESINHA REICHERT,SECRETARIA DE ESTADO DE SAUDE,04034526000143,5336171,CRUZEIRO DO SUL,AC,69980000,68 32237888,setorpessoalanssau@gmail.com,113,1,0
HOSPITAL SANTA JULIANA,OBRAS SOCIAIS DA DIOC DE R BRANCO HOSPITAL SANTA JULIANA,00529443000174,2002078,RIO BRANCO,AC,69900970,(68)32124700,hsj@hsj.org.br,179,1,0
UNIDADE DE EMERGENCIA DR DANIEL HOULY,SECRETARIA DE ESTADO DA SAUDE FES,12200259000165,3015408,ARAPIRACA,AL,57315745,82 3539 8634,ueagreste@saude.al.gov.br,175,1,0
HOSPITAL E MATERNIDADE SANTA RITA DE CASSIA,HOSPITAL E MATERNIDADE SANTA RITA DE CASSIA LTDA,,7467370,MACEIO,AL,57025640,3597 4555,administracao@hospitalsantaritadecassia.com.br,40,1,0
HOSPITAL PORTUGAL RAMALHO,HOSPITAL PORTUGAL RAMALHO,12517793000108,2003368,MACEIO,AL,57055320,,faturamento-hepr@hotmail.com,160,1,0
HOSPNOSSA SENHORA DE LOURDES E MAT ARMANDO LAGES,HOSP NOSSA SENHORA DE LOURDES E MAT ARMANDO LAGES,,2011166,PILAR,AL,57150000,(82) 32653527,,50,1,0
OCULAR,OCULAR CLINICA DE OLHOS LTDA EPP,,7838689,MACEIO,AL,57037500,(82) 3317 7790,adm1.ocular@gmail.com,2,0,0
HOSPITAL MUNICIPAL DR AUGUSTO DIAS CARDOSO,PREFEITURA MUNICIPAL DE CAJUEIRO,12333738000150,2010380,CAJUEIRO,AL,57770000,(82) 2841225,cajueiro@saude.al.gov.br,27,1,0
CASA MATERNAL DENILMA BULHOES,SECRETARIA MUNICIPAL DE SAUDE,00204125000133,2009625,MACEIO,AL,57084040,(82)3315-5421,,10,1,0
CARVALHO BELTRAO SERVICOS DE SAUDE LTDA,CARVALHO BELTRAO SERVICOS DE SAUDE LTDA,,2010356,CORURIPE,AL,57230000,(82) 2731183,,387,1,0
HOSPITAL GERAL DE DELMIRO GOUVEIA,SECRETARIA DE ESTADO DA SAUDE FES,12200259000165,9098364,DELMIRO GOUVEIA,AL,57480000,,,2,1,0
H N SRA DE LTDA,CASA DE SAUDE E MAT N SRA DE FATIMA LTDA,,2005026,ARAPIRACA,AL,57300070,(82)5221688,csnfatima@ig.com.br,132,1,0
H OLHOS ALAGOAS,OFTALMOCENTRO CENTRO OFTALMOLOGICO SS LTDA,,7683510,MACEIO,AL,57025025,(82) 3436 8000,diretoria@holhosalagoas.com.br,1,0,0
HOSPITAL DA MULHER DRA NISE DA SILVEIRA,SECRETARIA DE ESTADO DA SAUDE,12200259000165,9923837,MACEIO,AL,57025200,,,118,1,0
SANATORIO HOSPITAL GERAL,LIGA ALAGOANA CONTRA A TUBERCULOSE,,2006359,MACEIO,AL,57057250,82 40094416,,175,1,0
HOSPITAL MUNICIPAL TEOFILO PEREIRA,PREFEITURA MUNICIPAL DE JUNQUEIRO,12265468000197,2722429,JUNQUEIRO,AL,57270000,(82)5411369,junqueiro@saude.al.gov.br,36,1,0
HOSPITAL E MATERNIDADE DR ANTENOR SERPA,SECRETARIA DE ESTADO DA SAUDE FES,12200259000165,4020197,DELMIRO GOUVEIA,AL,57480000,,,46,1,0
CASA DE SAUDE E CLINICA DE REPOUSO ULYSSES PERNAMBUCANO,ORGANIZACAO DE ASSISTENCIA NEURO PSIQUIATRICA ORGANEP LTDA,,2006413,MACEIO,AL,57062280,(82)3338 2284,organep@veloxmail.com.br,200,1,0
HOSPITAL MUNICIPAL ANA ANITA GOMES FRAGOSO,PREFEITURA MUNICIPAL DE JOAQUIM GOMES,12262739000150,2009242,JOAQUIM GOMES,AL,57980000,82 988542099,jgomes@saude.al.gov.br,50,1,0
CLINICA INFANTIL MENINO JESUS,CLINICA INFANTIL MENINO JESUS SC LTDA,,2006278,MACEIO,AL,57051500,(82)2219888,,38,1,0
CLINICA INFANTIL DE MACEIO,CLINICA INFANTIL DE MACEIO SOCIEDADE CIVIL LTDA,,2006332,MACEIO,AL,57051270,(82)33369214,,62,0,0
CLINICA INFANTIL SANTA TEREZINHA,CLINICA INFANTIL SANTA TEREZINHA,,2006308,MACEIO,AL,57051140,(82)32214179,cista@uol.com.br,55,1,0
HOSPITAL MEMORIAL ARTHUR RAMOS,HOSPITAL MEMORIAL ARTHUR RAMOS S A,,2006472,MACEIO,AL,57052827,(82)2123 7000,,98,1,0
HOSPITAL REGIONAL DO ALTO SERTAO,SECRETARIA DE ESTADO DA SAUDE,12200259000165,0806285,DELMIRO GOUVEIA,AL,57480000,,,117,1,0
HOSPITAL DE CAMPANHA COVID 19 DR JOSE FERNANDES DE LIMA,SECRETARIA DE ESTADO DA SAUDE,12200259000165,0193283,ARAPIRACA,AL,57300070,,,50,1,0
HOSPITAL REGIONAL SANTA RITA E MATERNIDADE SANTA OLIMPIA,ASSOCIACAO BENEFICIENTE DE PALMEIRA DOS INDIOS,,2010631,PALMEIRA DOS INDIOS,AL,57601370,(82) 34219000,hsantaritaaoops.com.br,134,1,0
HOSPITAL UNIMED,UNIMED MACEIO COOPERATIVA DE TRABALHO MEDICO,,5253381,MACEIO,AL,57035190,2122-3139,luiz.henrique@unimedmaceio.com.br,100,0,0
HOSPITAL NOSSA SENHORA DA GUIA,SANTA CASA DE MISERICORDIA DE MACEIO,,6303153,MACEIO,AL,57025640,(82) 3202 5504,,80,1,0
CLINICA INFANTIL MARIA GORETTE,CLINICA INFANTIL MARIA GORETTE,,2006243,MACEIO,AL,57022060,(82)3261191,,50,0,0
ASSISTENCIA MEDICA AMBULATORIAL INFANTIL,CLINICA INFANTIL AMAI LTDA,,2006316,MACEIO,AL,57061000,(82)33263454,,39,1,0
UN MISTA SEN ARNON A F DE MELO,SECRETARIA DE ESTADO DA SAUDE FES,12200259000165,2721643,PIRANHAS,AL,57460000,(82)6861872,smspiranhas@bol.com.br,42,1,0
CASA DE SAUDE SANTO ANTONIO,ORGANIZACAO MEDICO HOSPITALAR DE ALAGOAS ORGAMEDAL,,2006340,MACEIO,AL,57017000,(82)33266569,,102,1,0
HOSPITAL GERAL DAGOBERTO OMENA HGDO,UNIDADE MISTA DAGOBERTO UCHOA LOPES DE OMENA,,4020405,MURICI,AL,57820000,,,53,1,0
MATERNIDADE ESCOLA SANTA MONICA,UNIVERSIDADE ESTADUAL DE CIENCIAS DA SAUDE DE ALAGOAS,12517793000108,2009250,MACEIO,AL,57025200,,,139,1,0
HOSPITAL VIDA,HOSPITAL VIDA,,2006960,MACEIO,AL,57035240,(82)3214 9700,cenefron@bol.com.br,66,1,1
HOSPITAL SANTA INES,HOSPITAL SANTA INES LTDA EPP,,7765738,CORURIPE,AL,57230000,,hospitalsantaines@hotmail.com,1,1,0
ORTOCLINICA,ORTOTRAUMA SERVICOS MEDICOS LTDA,,3905764,MACEIO,AL,57036690,82 3325-5881,ortoclinicamcz@ig.com.br,7,0,0
HOSPITAL DO CORACAO ALAGOANO PROF ADIB JATENE,SECRETARIA DE ESTASDO DA SAUDE,12200259000165,3397874,MACEIO,AL,57083410,,,91,1,0
HOSPITAL MUNICIPAL NOSSA SENHORA DAS GRACAS,HOSPITAL MUNICIPAL NOSSA SENHORA DAS GRACAS,,2722399,TEOTONIO VILELA,AL,57265063,(82)35433060,tvilela@saude.al.gov.br,68,1,0
CLINICA SANTA JULIANA,CLINICA SANTA JULIANA S C LTDA,,5473098,MACEIO,AL,57055235,2123-3700,hospitalfejal@gmail.com,36,0,0
CHAMA,COMPLEXO HOSPITALAR MANOEL ANDRE LTDA,,2005417,ARAPIRACA,AL,57300440,(82) 3521-4781,,555,1,0
HOSPITAL REGIONAL DE ARAPIRACA,ASSOCIACAO BENEFICENTE NOSSA SENHORA DO BOM CONSELHO,,2005050,ARAPIRACA,AL,57300080,(82)5221521,,144,1,0
INSTITUTO DA VISAO,INSTITUTO DA VISAO LTDA,,2006499,MACEIO,AL,57051600,(82)2121-6868,,11,1,1
SANTA CASA DE MISERICORDIA DE SAO MIGUEL DOS CAMPOS,SANTA CASA DE MISERICORDIA DE SAO MIGUEL DOS CAMPOS,,2010151,SAO MIGUEL DOS CAMPOS,AL,57241234,(82)32719400,jairo.dir@santacadesaomiguel.com.br,153,1,0
UNIDADE MISTA ENIO RICARDO GOMES,PREFEITURA MUNICIPAL DE SAO JOSE DA TAPERA,12261228000114,2722372,SAO JOSE DA TAPERA,AL,57445000,(82)36221235,,33,1,0
HOSPITAL DE CAMPANHA COVID 19 GIRAU DO PONCIANO,MUNICIPIO DE GIRAU DO PONCIANO,12207536000161,0111201,GIRAU DO PONCIANO,AL,57360000,,,36,1,0
CLINICA INFANTIL SANTA MARIA SOCIEDADE CIVIL LTDA,CLINICA INFANTIL SANTA MARIA SOCIEDADE CIVIL LTDA,,2006286,MACEIO,AL,57051270,(82)32235838,,58,1,0
HOSPITAL DA CRIANCA DE ALAGOAS,SECRETARIA DE ESTADO DE ALAGOAS,12200259000165,2868628,MACEIO,AL,57040600,,,74,1,0
HOSPITAL MUNICIPAL DE VICOSA,PREFEITURA MUNICIPAL DE VICOSA,12333746000104,2003570,VICOSA,AL,57700000,,,40,1,0
HOSPITAL REGIONAL DA MATA,SECRETARIA DE ESTADO DA SAUDE FES,12200259000165,7753470,UNIAO DOS PALMARES,AL,57800000,8232819300,,115,1,0
IOFAL,INSTITUTO OFTALMOLOGICO DE ALAGOAS LTDA,,6515630,MACEIO,AL,57035050,(082) 3327- 6563,administracao.pv@iofal.com.br,1,0,0
HOSPITAL DE CAMPANHA COVID 19 DE ALAGOAS DR CELSO TAVARES,SECRETARIA DE ESTADO DA SAUDE,12200259000165,0113913,MACEIO,AL,57022290,,,150,1,0
HOSPITAL MACEIO,ULTRA SOM SERVICOS MEDICOS S A,,6485960,MACEIO,AL,57046140,85 35229010,contab@hapvida.com.br,29,0,0
MEDRADIUS,CLINICA DE MEDICINA NUCLEAR E RADIOLOGICA MACEIO SS LTDA,,2006219,MACEIO,AL,57080000,(82)40090061,helena.silva@medradius.com.br,48,0,0
UNIDADE MISTA SENADOR ARNON DE MELO,PREFEITURA MUNICIPAL DE CAMPO ALEGRE,12264628000183,2722410,CAMPO ALEGRE,AL,57250000,8232751111,campoalegre@saude.gov.br,27,1,0
SANTA CASA DE MISERICORDIA DE MACEIO,SANTA CASA DE MISERICORDIA DE MACEIO,,2007037,MACEIO,AL,57020360,(82)2123-6000,,295,1,0
HOFTALMO HOSPITAL OFTALMOLOGICO DE ALAGOAS LTDA,HOFTALMO HOSPITAL OFTALMOLOGICO DE ALAGOAS LTDA,,7084137,MACEIO,AL,57030000,3217 2700,gerencia@hotmail.com,6,0,0
HOSPITAL ORTOPEDICO DE MACEIO,HOSPITAL ORTOPEDCO DE MACEIO,,2006421,MACEIO,AL,57051530,(82)3597 4141,,83,0,0
SANTA LUCIA HOSPITAL DA MULHER,CASA DE SAUDE SANTA LUCIA LTDA,,2006367,MACEIO,AL,57025640,(82)2234871,,43,0,0
HOSPITAL VEREDAS,FUNDACAO HOSPITAL DA AGRO IND DE ACUCAR E DO ALCOOL DE AL,,2006448,MACEIO,AL,57050000,(82) 32180100,diretoria@hospitalveredas.com.br,296,1,0
CASA DE SAUDE MIGUEL COUTO,CLINICA SANTA JULIANA SC LTDA,,2006391,MACEIO,AL,57017320,(82)32411000,csmcuoto@matrix.com.br,200,1,0
INSTITUTO DE OLHOS DE MACEIO,INSTITUTO DE OLHOS DE MACEIO SC LTDA,,2006979,MACEIO,AL,57051150,(82)32235517,iom-al@uol.com.br,5,1,0
HOSPITAL CLIOM,HOSPITAL DE ONCOLOGIA DE MACEIO LTDA,,6492592,MACEIO,AL,57050080,(82) 3311-4550,cliom@uol.com.br,18,0,0
CASA DE SAUDE E MATERNIDADE NOSSA SR DE FATIMA,ORGANIZACAO HOSPITALAR ALAGOANA LTDA,,2006405,MACEIO,AL,57025060,(82)32216908,,99,1,0
OFTALMOS ASSOCIADOS DE ALAGOAS,OFTALMOS ASSOCIADOS DE ALAGOAS S S LTDA,,9379517,MACEIO,AL,57035050,82 30219451,alcircm@yahoo.com.br,6,0,0
PROCRIANCA 24 HORAS,CLINICA PROCRIANCA SC LTDA,,3478939,ARAPIRACA,AL,57313040,(82)5309442,,3,0,0
HOSPITAL REGIONAL DO NORTE,SECRETARIA DE ESTADO DA SAUDE,12200259000165,7042671,PORTO CALVO,AL,57900000,,,129,1,0
HOSPITAL PSIQUIATRICO TEODORA ALBUQUERQUE,ASSOCIACAO PISIQUIATRICA TEODORA ALBUQUERQUE,,2005123,ARAPIRACA,AL,57311650,35295577,,120,1,0
HOSPITAL MONTE CRISTO,CLINICA DE FRATURAS E REABILITACAO DE MACEIO LTDA,,2006251,MACEIO,AL,57025640,(82)32018181,montecristo@saudealagoas.com.b,49,1,1
HOSPITAL MEMORIAL DJACY BARBOSA,CASA DE SAUDE E MATERNIDADE AFRA BARBOSA LTDA,,2004976,ARAPIRACA,AL,57300060,(82)35219805,,69,1,0
HOSPITAL DE CAMPANHA COVID 19 MARECHAL DEODORO,MUNICIPIO DE MARECHAL DEODORO,12200275000158,0193496,MARECHAL DEODORO,AL,57160000,,,16,1,0
CORDIAL,CORDIAL SOCIEDADE BENEFICENTE DO CORACAO DE ALAGOAS,,9406697,MACEIO,AL,57072580,(82) 3435 3607,,12,1,0
CLINICA FREI DAMIAO,INSTITUTO DA CRIANCA DE ALAGOAS LTDA,,2006375,MACEIO,AL,57040000,(82)33203003,iceal@ig.com.br,42,0,0
HOSPITAL REGIONAL POLO DO COVID,PREFEITURA MUNICIPAL DE CAPELA,12333753000106,0208116,CAPELA,AL,57780000,,capela@saude.al.gov.br,21,1,0
HOSPITAL LUIZ ARRUDA,PREFEITURA MUNICIPAL DE MATRIZ DE CAMARAGIBE,12342663000173,2009161,MATRIZ DE CAMARAGIBE,AL,57910000,,smscamaragibe@hotmail.com,24,1,0
UNIDADE HOSPITALAR DE QUEBRANGULO,PREFEITURA MUNICIPAL DE QUEBRANGULO,12241675000101,2722321,QUEBRANGULO,AL,57750000,(82)2881143,,28,1,0
CLINICA INFANTIL DE AL DRA DAISY BREDA,SECRETARIA DE ESTADO DA SAUDE FES,12200259000165,2009900,MACEIO,AL,57015170,(82)2210110,,24,1,0
HOSPITAL ALVORADA DE MACEIO LTDA,HOSPITAL ALVORADA DE MACEIO LTDA,,9226702,MACEIO,AL,57052492,(82) 3022 9595,,100,0,1
HOSPITAL DE OLHOS SANTA LUZIA,HOSPITAL DE OLHOS SANTA LUZIA LTDA,,2006944,MACEIO,AL,57052260,(82)21212800,h.olhosstaluzia@uol.com.br,17,1,0
HOSPITAL GERAL E MATERNIDADE ALERTA MEDICO,CEHOSP CENTRAL DE EMERGENCIA HOSPITALAR LTDA ME,,6782477,MACEIO,AL,57025640,32027923,flavioliberal@gmail.com,50,0,0
HOSPITAL JOSE AUGUSTO,PREFEITURA MUNICIPAL DE SAO LUIZ DO QUITUNDE,12342671000110,2008858,SAO LUIS DO QUITUNDE,AL,57920000,(82) 22541119,smsluizquitunde@ig.com.br,29,1,0
HOSPITAL MUNICIPAL DR JOSE VANIO DE BARROS MORAIS,PREFEITURA MUNICIPAL DE CAPELA AL,12333753000106,2719010,CAPELA,AL,57780000,(82)2871250,capela@saude.al.gov.br,50,1,0
HOSPITAL DE CAMPANHA COVID 19 MARAGOGI MUNICIPAL,PREFEITURA MUNICIPAL DE MARAGOGI,12248522000196,0153311,MARAGOGI,AL,57955000,,maragogi@saude.al.gov.br,8,1,0
SANTA CASA DE MISERICORDIA DE PENEDO,SANTA CASA DE MISERICORDIA IRMANDADE GARCIA,,2003775,PENEDO,AL,57200000,(82)35512508,direcao.scmp@hotmail.com,118,1,0
HOSPITAL MUNICIPAL GILVAN RAPOSO TENORIO,PREFEITURA MUNICIPAL DE BOCA DA MATA,12264396000163,2009528,BOCA DA MATA,AL,57680000,(82)2791380,bocadamata@saude.al.gov.br,14,1,0
HOSPITAL DE OLHOS CORURIPE,TH HOSPITAL DE OLHOS DE PENEDO LTDA,,3076709,CORURIPE,AL,57230000,,,1,1,0
HOSPITAL MUNICIPAL DE PORTO CALVO,PREFEITURA MUNICIPAL DE PORTA CALVO,12366720000154,4020510,PORTO CALVO,AL,57900000,(82)32921132,,40,1,0
HOSPITAL NOSSA SENHORA DE FATIMA,INSTITUTO BRASILEIRO DE SAUDE E PESQUISA CIENTIFICA,,4394445,ARAPIRACA,AL,57300070,8235221688,,85,1,0
HOSPITAL GERAL PROF IB GATTO FALCAO,SECRETARIA DE ESTADO DA SAUDE FES,12200259000165,2720043,RIO LARGO,AL,57100000,(82) 32612414,,49,1,0
HOSPITAL DARCY VARGAS ATALAIA,HOSPITAL INFANTIL E MATERNIDADE DARCY VARGAS,,2008289,ATALAIA,AL,57690000,(82)2641219,,38,1,0
HOSPITAL MEDICO CIRURGICO,HOSPITAL MEDICO CIRURGICO DE ALAGOAS LTDA EPP,,7471955,MACEIO,AL,57017630,,,82,1,0
HOSPITAL DA CIDADE,SECRETARIA MUNICIPAL DE SAUDE,00204125000133,4412710,MACEIO,AL,57052580,(82) 21234765,,190,1,0
HOSPITAL DE OLHOS DE PENEDO,TH HOSPITAL DE OLHOS DE PENEDO LTDA EPP,,9362487,PENEDO,AL,57200000,82 35513522,,2,1,0
HOSPITAL JOAO LIRA FILHO,PREFEITURA MUNICIPAL DE ATALAIA,12200143000126,2008106,ATALAIA,AL,57690000,,,44,1,0
PEDIATRIA 24 HORAS,PEDIATRIA 24 HORAS S C LTDA,,5221102,MACEIO,AL,57035700,,,7,0,0
IOFAL,INSTITUTO OFTALMOLOGICO DE ALAGOAS LTDA,,3025330,MACEIO,AL,57084650,(82)33749110,doctorborn@uol.com.br,8,0,0
CLINEM,CLINEM CLINICA DE ESPECILIDADES MEDICAS,,0026042,MACEIO,AL,57084650,(82) 3344 4477,,1,1,0
HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES,MINISTERIO DA EDUCACAO,24464109000229,2006197,MACEIO,AL,57072900,3202 3714,,222,1,0
HOSPITAL SAO VICENTE DE PAULO,OBRA SOCIAL SAO VICENTE DE PAULO,,2705737,UNIAO DOS PALMARES,AL,57800000,(82) 32811156,hospitalsaovicenteuniao@hotmail.com,30,0,0
HOSPITAL DE CAMPANHA COVID19 MARIA DE FATIMA ARAUJO,MUNICIPIO DE SAO JOSE DA LAJE,12330916000199,0179019,SAO JOSE DA LAJE,AL,57860000,,,20,1,0
HOSPITAL METROPOLITANO DE ALAGOAS,SECRETARIA DE ESTADO DA SAUDE,12200259000165,0136581,MACEIO,AL,57083410,,,203,1,0
HOSPITAL MEMORIAL AGAPE,HOSPITAL MEMORIAL AGAPE S A,,4584171,ARAPIRACA,AL,57315745,,,4,0,0
HOSPITAL DO CORACAO DE ALAGOAS,CARDIODINAMICA S S LTDA,,5195063,MACEIO,AL,57052580,(082) 2123 4765,gerenciaadm@hospitaldocoracao-al.com.br,93,0,0
HOSPITAL REGIONAL DR CLODOLFO RODRIGUES DE MELO,PREFEITURA MUNICIPAL DE SANTANA DO IPANEMA,12250916000189,5616298,SANTANA DO IPANEMA,AL,57500000,,,142,1,0
HOSPITAL ESCOLA DR HELVIO AUTO,UNIVERSIDADE ESTADUAL DE CIENCIAS DA SAUDE DE ALAGOAS,12517793000108,2720035,MACEIO,AL,57010430,,,96,1,0
HOSPITAL DR JOSE VANDERLEY NETO,PREFEITURA MUNICIPAL DE SAO BRAS,12207437000180,2720027,SAO BRAS,AL,57380000,(82) 35551221,saobras@saude.al.gov.br,3,1,0
HOSPITAL GERAL DO ESTADO DR OSVALDO BRANDAO VILELA,SECRETARIA DE ESTADO DA SAUDE,12200259000165,2006510,MACEIO,AL,57010000,(82) 3315-3183,,370,1,0
HOSPITAL ESCOLA DR JOSE CARNEIRO,HOSPITAL ESCOLA DR JOSE CARNEIRO,12517793000108,2008998,MACEIO,AL,57010320,,,130,1,0
HOSPITAL DAS CLINICAS DA AMAZONIA OCIDENTAL LTDA,HOSPITAL DAS CLINICAS DA AMAZONIA OCIDENTAL LTDA,,2016389,MANAUS,AM,69085000,(92)6446894,,106,0,0
HOSPITAL DE AERONAUTICA DE MANAUS,MINISTERIO DA AERONAUTICA VII COMAR,00394429012389,2013509,MANAUS,AM,69074000,(92)3623-4201,secretaria.hamn@fab.mil.br,20,0,0
UNIDADE HOSPITALAR DE LABREA,SECRETARIA DE ESTADO DA SAUDE SUSAM,00697295000105,2012618,LABREA,AM,69830000,092 7311295,hospital.labrea@gmail.com,60,1,0
HOSPITAL RAIMUNDO RODRIGUES IRMAO,PREFEITURA MUNICIPAL DE MANAQUIRI,04641551000195,2011891,MANAQUIRI,AM,69435000,(92) 33631177,hospitalmanaquiri@gmail.com,30,1,0
HOSPITAL NILDO SANTOS,GERALDO P DOS SANTOS EIRELI,,3787605,MANAUS,AM,69010125,(92)9280-1401,geraldo_ps1@hotmail.com,1,0,0
CLINICA MATERNO INFANTIL PLANALTO LTDA,CLINICA MATERNO INFANTIL PLANALTO LTDA,,2016192,MANAUS,AM,69042170,(92)6567209,,48,1,0
MATERNIDADE AZILDA DA SILVA MARREIRO,SECRETARIA DE ESTADO DA SAUDE SUSAM,00697295000105,3004104,MANAUS,AM,69093000,(92)3643-5500,mat_amarreiro@saude.am.gov.br,75,1,0
HOSPITAL GERAL DE MANACAPURU,MUNICIPIO DE MANACAPURU,04274064000131,2013258,MANACAPURU,AM,69400797,92 33611907,hosp-manacapuru@saude.am.gov.br,90,1,0
HOSPITAL DE GUARNICAO DE SAO GABRIEL DA CACHOEIRA,COMANDO DA DECIMA SEGUNDA REGIAO MILITAR,09633335000200,4004787,SAO GABRIEL DA CACHOEIRA,AM,69750000,(97) 3471-1413,spc_sus.sgc12@hotmail.com,56,1,0
HOSPITAL DONA EDITH MENDES WECKNER,PREFEITURA MUNICIPAL DE NOVO ARIPUANA,04278818000121,2019604,NOVO ARIPUANA,AM,69260000,(97)33791413,,28,1,0
UNIDADE HOSPITALAR DE SAO SEBASTIAO DO UATUMA,PREFEITURA MUNICIPAL DE SAO SEBASTIAO DO UATUMA,04628418000107,2011859,SAO SEBASTIAO DO UATUMA,AM,69135000,,hrff.saude@gmail.com,20,1,0
HOSPITAL REGIONAL DR JOFRE DE MATOS COHEN,PREFEITURA MUNICIPAL DE PARINTINS,04329736000169,3210243,PARINTINS,AM,69151160,(92)5334158,,155,1,0
HOSPITAL DE CAMPANHA COVID 19,MUNICIPIO DE CAAPIRANGA,04628046000100,0203505,CAAPIRANGA,AM,69425000,,,15,1,0
UNIDADE HOSPITALAR DE GUAJARA,PREFEITURA MUNICIPAL DE GUAJARA,22812242000112,2017997,GUAJARA,AM,69895000,(97) 99170-1612,hospitalguajara18@gmail.com,23,1,0
